",""french_name"",""species"",""minYear"",""maxYear"",""estimate"",""se"",""infIC"",""supIC"",""GR"",""infGR"",""supGR"",""perc"",""infPerc"",""supPerc"",""pval"",""trend"",""trendEBCC"""
"81,""Bruant des roseaux"",""EMBSCH"",2014,2023,-0.00992003182484712,0.0270035496140213,-0.0628469890683289,0.0430069254186347,0.990129009393407,0.939087153296824,1.0439451245826,""-8.5%"",""-43.2%"",""+47.3%"",0.713350287762434,""Incertain"",""Incertain"""
"82,""Chevêche d'Athéna"",""ATHNOC"",2014,2023,-0.0130131152611657,0.0590246671337758,-0.128701462843366,0.102675232321035,0.987071189238958,0.879236411106939,1.10813146534614,""-11.1%"",""-68.6%"",""+152%"",0.825505834692707,""Incertain"",""Incertain"""
"83,""Pigeon colombin"",""COLOEN"",2014,2023,-0.0131645363167957,0.0552254342921508,-0.121406387529411,0.09507731489582,0.98692173719288,0.885673959595771,1.09974387842267,""-11.2%"",""-66.5%"",""+135.3%"",0.811587820421216,""Incertain"",""Incertain"""
"84,""Sittelle torchepot"",""SITEUR"",2014,2023,-0.0149776945943698,0.00708477602669763,-0.0288638556066972,-0.00109153358204242,0.98513391316953,0.971548726374958,0.998909061924047,""-12.6%"",""-22.9%"",""-1%"",0.0345095043292829,""Déclin modéré"",""Déclin modéré"""
"85,""Accenteur mouchet"",""PRUMOD"",2014,2023,-0.0156081226850194,0.00868167812110407,-0.0326242118023833,0.00140796643234454,0.984513052802088,0.967902217485358,1.00140895808243,""-13.1%"",""-25.4%"",""+1.3%"",0.0722050233462694,""Stable"",""Stable"""
"86,""Grive litorne"",""TURPIL"",2014,2023,-0.0158938434409874,0.0225702672296888,-0.0601315672111775,0.0283438803292027,0.98423179717058,0.941640636401561,1.02874939028069,""-13.3%"",""-41.8%"",""+29.1%"",0.481312058665995,""Incertain"",""Incertain"""
"87,""Merle noir"",""TURMER"",2014,2023,-0.0160000026176688,0.00384759372479952,-0.0235412863182759,-0.00845871891706187,0.984127317479166,0.976733648100116,0.991576955388626,""-13.4%"",""-19.1%"",""-7.3%"",3.2042291469357e-05,""Déclin modéré"",""Déclin modéré"""
"88,""Geai des chênes"",""GARGLA"",2014,2023,-0.0161443264915038,0.00512790665042405,-0.026195023526335,-0.00609362945667271,0.983985294661248,0.974145089871553,0.993924899048919,""-13.5%"",""-21%"",""-5.3%"",0.00164207940358248,""Déclin modéré"",""Déclin modéré"""
"89,""Corbeau freux"",""CORFRU"",2014,2023,-0.0161511057842315,0.026276730537464,-0.067653497637661,0.0353512860691979,0.983978623959508,0.934584253130298,1.03598357148252,""-13.5%"",""-45.6%"",""+37.5%"",0.538783036989617,""Incertain"",""Incertain"""
"90,""Gallinule poule-d'eau"",""GALCHL"",2014,2023,-0.0163582591815582,0.0182251444312074,-0.0520795422667248,0.0193630239036082,0.983774810555706,0.949253358076063,1.01955170308322,""-13.7%"",""-37.4%"",""+19%"",0.3694172883852,""Incertain"",""Incertain"""
"91,""Bruant proyer"",""MILCAL"",2014,2023,-0.017252931069085,0.0528437318631424,-0.120826645520844,0.0863207833826741,0.982895048496918,0.886187570862671,1.09015597614319,""-14.4%"",""-66.3%"",""+117.5%"",0.744053925239748,""Incertain"",""Incertain"""
"92,""Busard des roseaux"",""CIRAER"",2014,2023,-0.0210770413859266,0.0453296500460219,-0.10992315547613,0.0677690727042764,0.979143527089245,0.895902977889176,1.07011816045036,""-17.3%"",""-62.8%"",""+84%"",0.641951139351231,""Incertain"",""Incertain"""
"93,""Pipit farlouse"",""ANTPRA"",2014,2023,-0.0217222257994208,0.0142744224166747,-0.0497000937361032,0.00625564213726153,0.978512002693748,0.95151474694638,1.00627524953083,""-17.8%"",""-36.1%"",""+5.8%"",0.128069565648339,""Incertain"",""Stable"""
"94,""Perdrix rouge"",""ALERUF"",2014,2023,-0.0225482208297085,0.0345161183535744,-0.0901998128027143,0.0451033711432973,0.977704090354169,0.913748588362819,1.04613599459342,""-18.4%"",""-55.6%"",""+50.1%"",0.513584541364168,""Incertain"",""Incertain"""
"95,""Mésange noire"",""PARATE"",2014,2023,-0.0272851081311515,0.0176618780077447,-0.0619023890263311,0.00733217276402812,0.973083767876707,0.939974634152505,1.00735911896055,""-21.8%"",""-42.7%"",""+6.8%"",0.122380414491318,""Incertain"",""Incertain"""
"96,""Grèbe castagneux"",""TACRUF"",2014,2023,-0.030053595396047,0.0507789694438841,-0.12958037550606,0.069473184713966,0.970393523529557,0.8784639785918,1.07194331635273,""-23.7%"",""-68.8%"",""+86.9%"",0.55395021597482,""Incertain"",""Incertain"""
